2018-11-20 06:24:46.4344 Info Loading Cardigann definition /app/Jackett/Definitions/newstudio.yml 
2018-11-20 06:24:46.4531 Info Loading Cardigann definition /app/Jackett/Definitions/nnm-club.yml 
2018-11-20 06:24:46.6022 Info Loading Cardigann definition /app/Jackett/Definitions/nyaa-pantsu.yml 
2018-11-20 06:24:46.6197 Info Loading Cardigann definition /app/Jackett/Definitions/nyaasi.yml 
2018-11-20 06:24:46.6412 Info Loading Cardigann definition /app/Jackett/Definitions/nyoo.yml 
2018-11-20 06:24:46.6557 Info Loading Cardigann definition /app/Jackett/Definitions/ourbits.yml 
2018-11-20 06:24:46.6736 Info Loading Cardigann definition /app/Jackett/Definitions/passionetorrent.yml 
2018-11-20 06:24:46.6896 Info Loading Cardigann definition /app/Jackett/Definitions/polishsource.yml 
2018-11-20 06:24:46.7110 Info Loading Cardigann definition /app/Jackett/Definitions/prostylex.yml 
2018-11-20 06:24:46.7338 Info Loading Cardigann definition /app/Jackett/Definitions/ptfiles.yml 
2018-11-20 06:24:46.7598 Info Loading Cardigann definition /app/Jackett/Definitions/puntotorrent.yml 
2018-11-20 06:24:46.8038 Info Loading Cardigann definition /app/Jackett/Definitions/racing4everyone.yml 
2018-11-20 06:24:46.8342 Info Loading Cardigann definition /app/Jackett/Definitions/redstartorrent.yml 
2018-11-20 06:24:46.8516 Info Loading Cardigann definition /app/Jackett/Definitions/redtopia.yml 
2018-11-20 06:24:46.8696 Info Loading Cardigann definition /app/Jackett/Definitions/retroflix.yml 
2018-11-20 06:24:46.8854 Info Loading Cardigann definition /app/Jackett/Definitions/rgu.yml 
2018-11-20 06:24:46.9023 Info Loading Cardigann definition /app/Jackett/Definitions/rockbox.yml 
2018-11-20 06:24:46.9332 Info Loading Cardigann definition /app/Jackett/Definitions/rodvd.yml 
2018-11-20 06:24:46.9527 Info Loading Cardigann definition /app/Jackett/Definitions/rutor.yml 
2018-11-20 06:24:46.9730 Info Loading Cardigann definition /app/Jackett/Definitions/scenefz.yml 
2018-11-20 06:24:46.9942 Info Loading Cardigann definition /app/Jackett/Definitions/scenehd.yml 
2018-11-20 06:24:47.0123 Info Loading Cardigann definition /app/Jackett/Definitions/scenereactor.yml 
2018-11-20 06:24:47.0310 Info Loading Cardigann definition /app/Jackett/Definitions/sdbits.yml 
2018-11-20 06:24:47.0485 Info Loading Cardigann definition /app/Jackett/Definitions/shareisland.yml 
